"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"28" 27 0 2732983 47966 0 0 47966 0 0 10 10 10 10 28 21.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"29" 28 0 2822636 47966 0 0 47966 0 0 10 10 10 10 29 22.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"30" 29 0 2914412 47966 0 0 47966 0 0 10 10 10 10 30 23.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"31" 30 0 3008273 47966 0 0 47966 0 0 10 10 10 10 31 24.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"32" 31 0 3101023 47966 0 0 47966 0 0 10 10 10 10 32 25.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"33" 32 0 3195260 47966 0 0 47966 0 0 10 10 10 10 33 26.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"34" 33 0 3291831 47966 0 0 47966 0 0 10 10 10 10 34 27.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"35" 34 0 3382507 47966 0 0 47966 0 0 10 10 10 10 35 28.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"36" 35 0 3482541 47966 0 0 47966 0 0 10 10 10 10 36 29.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
"37" 36 0 3586701 47966 0 0 47966 0 0 10 10 10 10 37 30.4375 "AND NOT device_has_password=true AND NOT device_owned_by=>COMPANY AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT wifiEnabled=true AND  wifiEnabled=true OR  device_type=>LG-G3 AND  user_role=>Consultancy AND NOT wifiEnabled=true AND  device_screen_timeout>803 OR NOT user_role=>Employee THEN=" "fold0"
