"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"25" 24 0 1630268 46526 191 0 47846 37.5625 0 10 10 10 10 25 14.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"26" 25 0 1672911 46526 191 0 47846 37.5625 0 10 10 10 10 26 15.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"27" 26 0 1735781 46526 191 0 47846 37.5625 0 10 10 10 10 27 16.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"28" 27 0 1794912 46526 191 0 47846 37.5625 0 10 10 10 10 28 17.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"29" 28 0 1840095 46526 191 0 47846 37.5625 0 10 10 10 10 29 18.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"30" 29 0 1898477 46526 191 0 47846 37.5625 0 10 10 10 10 30 19.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"31" 30 0 1961450 46526 191 0 47846 37.5625 0 10 10 10 10 31 20.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"32" 31 0 2026304 46526 191 0 47846 37.5625 0 10 10 10 10 32 21.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"33" 32 0 2070169 46526 191 0 47846 37.5625 0 10 10 10 10 33 22.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
"34" 33 0 2143137 46526 191 0 47846 37.5625 0 10 10 10 10 34 23.65625 "OR NOT user_role=>Development AND NOT device_has_accessibility=true AND NOT device_is_rooted=false OR NOT user_role=>Administration AND  mail_has_attachment=true AND  device_is_rooted=false AND  mail_has_attachment=false AND  bluetoothConnected=false OR NOT device_type=>Samsung Galaxy Trend Plus AND  event_type=>SECURITY_PROPERTY_CHANGED THEN=" "fold0"
