"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"24" 23 0 2543152 "17403.00000000" "4733.00000000" ".00000000" "18867.46875000" "4650.18750000" ".00000000" 5 "4.65625000" 13 "14.87500000" 3 "9.87500000" "AND NOT wifiConnected=true OR  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  wifiEncryption=>ESS AND NOT device_OS=>Windows7 Home Edition OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Windows7 Home Edition OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"25" 24 0 2686593 "17403.00000000" "4733.00000000" ".00000000" "18867.46875000" "4650.18750000" ".00000000" 5 "4.65625000" 13 "14.87500000" 4 "10.87500000" "AND NOT wifiConnected=true OR  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  wifiEncryption=>ESS AND NOT device_OS=>Windows7 Home Edition OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Windows7 Home Edition OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"26" 25 0 2772791 "17376.00000000" "4736.00000000" ".00000000" "18740.43750000" "4646.09375000" ".00000000" 5 "4.65625000" 13 "14.56250000" 1 "10.56250000" "OR  event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR  event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS AND  device_OS=>Android4.3 OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_OS=>Android4.3 OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"27" 26 0 2895624 "17376.00000000" "4736.00000000" ".00000000" "18708.18750000" "4646.34375000" ".00000000" 5 "4.65625000" 13 "14.50000000" 2 "11.12500000" "OR  event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR  event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS AND  device_OS=>Android4.3 OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_OS=>Android4.3 OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"28" 27 0 2994521 "17376.00000000" "4736.00000000" ".00000000" "18697.65625000" "4641.43750000" ".00000000" 5 "4.62500000" 13 "14.43750000" 3 "11.31250000" "OR  event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR  event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS AND  device_OS=>Android4.3 OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_OS=>Android4.3 OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"29" 28 0 3080419 "17376.00000000" "4736.00000000" ".00000000" "18697.65625000" "4641.43750000" ".00000000" 5 "4.62500000" 13 "14.43750000" 4 "12.31250000" "OR  event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR  event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS AND  device_OS=>Android4.3 OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_OS=>Android4.3 OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"30" 29 0 3165362 "17190.00000000" "4585.00000000" ".00000000" "18588.84375000" "4623.12500000" ".00000000" 4 "4.53125000" 11 "14.00000000" 1 "12.37500000" "OR  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  device_OS=>Android4.3 AND NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"31" 30 0 3245676 "17141.00000000" "4573.00000000" ".00000000" "18506.78125000" "4622.87500000" ".00000000" 4 "4.56250000" 11 "13.81250000" 1 "12.09375000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"32" 31 0 3358038 "17141.00000000" "4573.00000000" ".00000000" "18399.62500000" "4622.50000000" ".00000000" 4 "4.59375000" 11 "13.56250000" 2 "10.25000000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"33" 32 0 3485875 "17141.00000000" "4573.00000000" ".00000000" "18399.62500000" "4622.50000000" ".00000000" 4 "4.59375000" 11 "13.56250000" 3 "11.25000000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"34" 33 0 3590661 "17141.00000000" "4573.00000000" ".00000000" "18346.53125000" "4635.06250000" ".00000000" 4 "4.62500000" 11 "13.62500000" 4 "12.18750000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"35" 34 0 3710673 "17141.00000000" "4573.00000000" ".00000000" "18265.15625000" "4639.93750000" ".00000000" 4 "4.65625000" 11 "13.50000000" 5 "12.09375000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"36" 35 0 3816071 "17141.00000000" "4573.00000000" ".00000000" "18193.46875000" "4652.84375000" ".00000000" 4 "4.65625000" 11 "13.56250000" 6 "12.31250000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"37" 36 0 3919007 "17141.00000000" "4573.00000000" ".00000000" "18193.46875000" "4652.84375000" ".00000000" 4 "4.65625000" 11 "13.56250000" 7 "13.31250000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"38" 37 0 4018686 "17141.00000000" "4573.00000000" ".00000000" "18052.09375000" "4661.56250000" ".00000000" 4 "4.71875000" 11 "13.37500000" 8 "11.37500000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"39" 38 0 4102172 "17141.00000000" "4573.00000000" ".00000000" "18042.31250000" "4671.78125000" ".00000000" 4 "4.75000000" 11 "13.50000000" 9 "11.68750000" "OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  wifiEnabled=true OR NOT event_level=>COMPLEX_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  password_length>5 AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND  device_is_rooted=false AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
