"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"84" 83 0 8345764 "17123.00000000" "4585.00000000" ".00000000" "17203.90625000" "4594.46875000" ".00000000" 4 "4.09375000" 11 "11.18750000" 21 "22.59375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"85" 84 0 8448869 "17123.00000000" "4585.00000000" ".00000000" "17203.90625000" "4594.46875000" ".00000000" 4 "4.09375000" 11 "11.18750000" 22 "23.59375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"86" 85 0 8541993 "17123.00000000" "4585.00000000" ".00000000" "17196.50000000" "4589.37500000" ".00000000" 4 "4.06250000" 11 "11.12500000" 23 "23.09375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"87" 86 0 8621934 "17123.00000000" "4585.00000000" ".00000000" "17190.62500000" "4584.21875000" ".00000000" 4 "4.03125000" 11 "11.06250000" 24 "20.56250000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"88" 87 0 8701940 "17123.00000000" "4585.00000000" ".00000000" "17190.62500000" "4584.21875000" ".00000000" 4 "4.03125000" 11 "11.06250000" 25 "21.56250000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"89" 88 0 8778915 "17123.00000000" "4585.00000000" ".00000000" "17190.62500000" "4584.21875000" ".00000000" 4 "4.03125000" 11 "11.06250000" 26 "22.56250000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"90" 89 0 8872631 "17123.00000000" "4585.00000000" ".00000000" "17174.50000000" "4580.84375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 27 "22.59375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"91" 90 0 8974553 "17123.00000000" "4585.00000000" ".00000000" "17174.50000000" "4580.84375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 28 "23.59375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"92" 91 0 9059060 "17123.00000000" "4585.00000000" ".00000000" "17174.50000000" "4580.84375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 29 "24.59375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"93" 92 0 9133239 "17123.00000000" "4585.00000000" ".00000000" "17174.50000000" "4580.84375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 30 "25.59375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"94" 93 0 9213323 "17123.00000000" "4585.00000000" ".00000000" "17173.06250000" "4580.84375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 31 "25.84375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"95" 94 0 9315959 "17123.00000000" "4585.00000000" ".00000000" "17173.06250000" "4580.84375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 32 "26.84375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"96" 95 0 9405673 "17123.00000000" "4585.00000000" ".00000000" "17171.12500000" "4580.87500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 33 "26.87500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"97" 96 0 9488442 "17123.00000000" "4585.00000000" ".00000000" "17171.12500000" "4580.87500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 34 "27.87500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"98" 97 0 9591714 "17123.00000000" "4585.00000000" ".00000000" "17171.12500000" "4580.87500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 35 "28.87500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"99" 98 0 9667996 "17123.00000000" "4585.00000000" ".00000000" "17171.12500000" "4580.87500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 36 "29.87500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"100" 99 0 9745252 "17123.00000000" "4585.00000000" ".00000000" "17170.43750000" "4580.87500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 37 "30.06250000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"101" 100 0 9829537 "17123.00000000" "4585.00000000" ".00000000" "17170.43750000" "4580.87500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 38 "31.06250000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"102" 101 0 9934148 "17123.00000000" "4585.00000000" ".00000000" "17168.75000000" "4580.62500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 39 "31.68750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"103" 102 0 10028076 "17123.00000000" "4585.00000000" ".00000000" "17168.75000000" "4580.62500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 40 "32.68750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"104" 103 0 10106606 "17123.00000000" "4585.00000000" ".00000000" "17168.75000000" "4580.62500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 41 "33.68750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"105" 104 0 10183572 "17123.00000000" "4585.00000000" ".00000000" "17168.75000000" "4580.62500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 42 "34.68750000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"106" 105 0 10270417 "17123.00000000" "4585.00000000" ".00000000" "17168.59375000" "4580.62500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 43 "35.09375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"107" 106 0 10346241 "17123.00000000" "4585.00000000" ".00000000" "17166.84375000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 44 "35.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"108" 107 0 10444945 "17123.00000000" "4585.00000000" ".00000000" "17166.84375000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 45 "36.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"109" 108 0 10511008 "17123.00000000" "4585.00000000" ".00000000" "17166.84375000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 46 "37.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"110" 109 0 10613424 "17123.00000000" "4585.00000000" ".00000000" "17166.84375000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 47 "38.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"111" 110 0 10696510 "17123.00000000" "4585.00000000" ".00000000" "17166.84375000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 48 "39.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"112" 111 0 10770071 "17123.00000000" "4585.00000000" ".00000000" "17166.84375000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 49 "40.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"113" 112 0 10872560 "17123.00000000" "4585.00000000" ".00000000" "17166.84375000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 50 "41.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"114" 113 0 10950463 "17123.00000000" "4585.00000000" ".00000000" "17166.84375000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 51 "42.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"115" 114 0 11046976 "17123.00000000" "4585.00000000" ".00000000" "17166.84375000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 52 "43.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"116" 115 0 11138823 "17123.00000000" "4585.00000000" ".00000000" "17166.84375000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 53 "44.34375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"117" 116 0 11212199 "17123.00000000" "4585.00000000" ".00000000" "17164.68750000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 54 "42.87500000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"118" 117 0 11309823 "17123.00000000" "4585.00000000" ".00000000" "17162.78125000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 55 "41.03125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"119" 118 0 11389070 "17123.00000000" "4585.00000000" ".00000000" "17162.78125000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 56 "42.03125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"120" 119 0 11489624 "17123.00000000" "4585.00000000" ".00000000" "17162.78125000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 57 "43.03125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"121" 120 0 11587482 "17123.00000000" "4585.00000000" ".00000000" "17162.78125000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 58 "44.03125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"122" 121 0 11646431 "17123.00000000" "4585.00000000" ".00000000" "17162.78125000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 59 "45.03125000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"123" 122 0 11745456 "17123.00000000" "4585.00000000" ".00000000" "17162.62500000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 60 "44.06250000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"124" 123 0 11850296 "17123.00000000" "4585.00000000" ".00000000" "17162.62500000" "4580.37500000" ".00000000" 4 "4.00000000" 11 "11.00000000" 61 "45.06250000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"125" 124 0 11927722 "17123.00000000" "4585.00000000" ".00000000" "17160.37500000" "4580.50000000" ".00000000" 4 "4.00000000" 11 "11.00000000" 62 "43.84375000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"126" 125 0 12003163 "17123.00000000" "4585.00000000" ".00000000" "17157.59375000" "4580.78125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 63 "44.50000000" "OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true OR NOT event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|AND NOT device_OS=>Android4.3 OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT password_length<=7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
