"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"26" 25 0 2456507 "17255.00000000" "4633.00000000" ".00000000" "18050.84375000" "4708.71875000" ".00000000" 4 "4.50000000" 11 "13.25000000" 9 "9.81250000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"27" 26 0 2529336 "17255.00000000" "4633.00000000" ".00000000" "17981.03125000" "4703.87500000" ".00000000" 4 "4.46875000" 11 "13.06250000" 10 "10.06250000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"28" 27 0 2604368 "17255.00000000" "4633.00000000" ".00000000" "17914.03125000" "4704.28125000" ".00000000" 4 "4.46875000" 11 "12.93750000" 11 "9.56250000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"29" 28 0 2682288 "17255.00000000" "4633.00000000" ".00000000" "17896.06250000" "4702.40625000" ".00000000" 4 "4.46875000" 11 "12.87500000" 12 "10.43750000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"30" 29 0 2764058 "17255.00000000" "4633.00000000" ".00000000" "17878.40625000" "4706.46875000" ".00000000" 4 "4.50000000" 11 "12.87500000" 13 "11.12500000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"31" 30 0 2843726 "17255.00000000" "4633.00000000" ".00000000" "17847.03125000" "4706.59375000" ".00000000" 4 "4.50000000" 11 "12.81250000" 14 "11.50000000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"32" 31 0 2922791 "17255.00000000" "4633.00000000" ".00000000" "17821.68750000" "4711.46875000" ".00000000" 4 "4.53125000" 11 "12.81250000" 15 "11.87500000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"33" 32 0 2982529 "17255.00000000" "4633.00000000" ".00000000" "17789.65625000" "4711.00000000" ".00000000" 4 "4.53125000" 11 "12.75000000" 16 "12.00000000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"34" 33 0 3105802 "17255.00000000" "4633.00000000" ".00000000" "17708.68750000" "4720.78125000" ".00000000" 4 "4.59375000" 11 "12.68750000" 17 "10.93750000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"35" 34 0 3199277 "17255.00000000" "4633.00000000" ".00000000" "17635.50000000" "4729.56250000" ".00000000" 4 "4.65625000" 11 "12.62500000" 18 "11.09375000" "OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout>=411 OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|OR NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
