"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"78" 77 0 6436301 "17249.00000000" "4627.00000000" ".00000000" "17282.71875000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 2 "28.09375000" "AND NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"79" 78 0 6520596 "17249.00000000" "4627.00000000" ".00000000" "17282.71875000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 3 "29.09375000" "AND NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"80" 79 0 6579204 "17249.00000000" "4627.00000000" ".00000000" "17282.71875000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 4 "30.09375000" "AND NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"81" 80 0 6650864 "17249.00000000" "4627.00000000" ".00000000" "17282.71875000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 5 "31.09375000" "AND NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"82" 81 0 6724047 "17249.00000000" "4627.00000000" ".00000000" "17282.71875000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 6 "32.09375000" "AND NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"83" 82 0 6776088 "17249.00000000" "4627.00000000" ".00000000" "17282.18750000" "4630.46875000" ".00000000" 4 "4.00000000" 11 "11.00000000" 7 "32.37500000" "AND NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"84" 83 0 6833045 "17249.00000000" "4627.00000000" ".00000000" "17282.18750000" "4630.46875000" ".00000000" 4 "4.00000000" 11 "11.00000000" 8 "33.37500000" "AND NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"85" 84 0 6920453 "17249.00000000" "4627.00000000" ".00000000" "17282.18750000" "4630.46875000" ".00000000" 4 "4.00000000" 11 "11.00000000" 9 "34.37500000" "AND NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>USER AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|AND NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"86" 85 0 7021923 "17242.00000000" "4629.00000000" ".00000000" "17280.71875000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 1 "34.81250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"87" 86 0 7096468 "17242.00000000" "4629.00000000" ".00000000" "17280.71875000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 2 "35.81250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"88" 87 0 7160923 "17242.00000000" "4629.00000000" ".00000000" "17280.71875000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 3 "36.81250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"89" 88 0 7225145 "17242.00000000" "4629.00000000" ".00000000" "17280.59375000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 4 "36.93750000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"90" 89 0 7299062 "17242.00000000" "4629.00000000" ".00000000" "17280.59375000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 5 "37.93750000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"91" 90 0 7393716 "17242.00000000" "4629.00000000" ".00000000" "17280.59375000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 6 "38.93750000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"92" 91 0 7441025 "17242.00000000" "4629.00000000" ".00000000" "17280.59375000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 7 "39.93750000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"93" 92 0 7516651 "17242.00000000" "4629.00000000" ".00000000" "17280.59375000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 8 "40.93750000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"94" 93 0 7605912 "17242.00000000" "4629.00000000" ".00000000" "17280.59375000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 9 "41.93750000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"95" 94 0 7687595 "17242.00000000" "4629.00000000" ".00000000" "17280.59375000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 10 "42.93750000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"96" 95 0 7767913 "17242.00000000" "4629.00000000" ".00000000" "17280.59375000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 11 "43.93750000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"97" 96 0 7836707 "17242.00000000" "4629.00000000" ".00000000" "17280.59375000" "4630.34375000" ".00000000" 4 "4.00000000" 11 "11.00000000" 12 "44.93750000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"98" 97 0 7926289 "17242.00000000" "4629.00000000" ".00000000" "17279.25000000" "4630.21875000" ".00000000" 4 "4.00000000" 11 "11.00000000" 13 "43.50000000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"99" 98 0 7991519 "17242.00000000" "4629.00000000" ".00000000" "17278.56250000" "4630.28125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 14 "43.09375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"100" 99 0 8048043 "17242.00000000" "4629.00000000" ".00000000" "17278.15625000" "4630.28125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 15 "42.62500000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"101" 100 0 8135753 "17242.00000000" "4629.00000000" ".00000000" "17277.78125000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 16 "42.09375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"102" 101 0 8198888 "17242.00000000" "4629.00000000" ".00000000" "17277.78125000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 17 "43.09375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"103" 102 0 8277235 "17242.00000000" "4629.00000000" ".00000000" "17277.78125000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 18 "44.09375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"104" 103 0 8341934 "17242.00000000" "4629.00000000" ".00000000" "17277.78125000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 19 "45.09375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"105" 104 0 8414513 "17242.00000000" "4629.00000000" ".00000000" "17277.78125000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 20 "46.09375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"106" 105 0 8513176 "17242.00000000" "4629.00000000" ".00000000" "17277.78125000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 21 "47.09375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"107" 106 0 8584803 "17242.00000000" "4629.00000000" ".00000000" "17277.78125000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 22 "48.09375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"108" 107 0 8637530 "17242.00000000" "4629.00000000" ".00000000" "17277.78125000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 23 "49.09375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"109" 108 0 8720998 "17242.00000000" "4629.00000000" ".00000000" "17277.15625000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 24 "48.31250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"110" 109 0 8780710 "17242.00000000" "4629.00000000" ".00000000" "17277.15625000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 25 "49.31250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"111" 110 0 8855927 "17242.00000000" "4629.00000000" ".00000000" "17277.15625000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 26 "50.31250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"112" 111 0 8926742 "17242.00000000" "4629.00000000" ".00000000" "17277.15625000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 27 "51.31250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"113" 112 0 8988198 "17242.00000000" "4629.00000000" ".00000000" "17277.15625000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 28 "52.31250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"114" 113 0 9047462 "17242.00000000" "4629.00000000" ".00000000" "17277.15625000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 29 "53.31250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"115" 114 0 9101618 "17242.00000000" "4629.00000000" ".00000000" "17277.15625000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 30 "54.31250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"116" 115 0 9178294 "17242.00000000" "4629.00000000" ".00000000" "17277.15625000" "4630.53125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 31 "55.31250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"117" 116 0 9271720 "17242.00000000" "4629.00000000" ".00000000" "17275.78125000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 32 "52.06250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"118" 117 0 9336706 "17242.00000000" "4629.00000000" ".00000000" "17275.78125000" "4630.40625000" ".00000000" 4 "4.00000000" 11 "11.00000000" 33 "53.06250000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"119" 118 0 9401406 "17242.00000000" "4629.00000000" ".00000000" "17274.84375000" "4630.28125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 34 "51.84375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"120" 119 0 9504630 "17242.00000000" "4629.00000000" ".00000000" "17274.84375000" "4630.28125000" ".00000000" 4 "4.00000000" 11 "11.00000000" 35 "52.84375000" "OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|AND  device_screen_timeout>=411 OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
