"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"23" 22 0 2207629 "17249.00000000" "4636.00000000" ".00000000" "18711.81250000" "4646.62500000" ".00000000" 4 "4.15625000" 11 "13.93750000" 3 "9.50000000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"24" 23 0 2282261 "17249.00000000" "4636.00000000" ".00000000" "18711.81250000" "4646.62500000" ".00000000" 4 "4.15625000" 11 "13.93750000" 4 "10.50000000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"25" 24 0 2367586 "17249.00000000" "4636.00000000" ".00000000" "18670.21875000" "4639.75000000" ".00000000" 4 "4.09375000" 11 "13.81250000" 5 "11.18750000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"26" 25 0 2459954 "17249.00000000" "4636.00000000" ".00000000" "18634.00000000" "4640.71875000" ".00000000" 4 "4.09375000" 11 "13.75000000" 6 "11.84375000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"27" 26 0 2533942 "17249.00000000" "4636.00000000" ".00000000" "18605.84375000" "4645.87500000" ".00000000" 4 "4.12500000" 11 "13.75000000" 7 "12.03125000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"28" 27 0 2641158 "17249.00000000" "4636.00000000" ".00000000" "18576.43750000" "4646.90625000" ".00000000" 4 "4.12500000" 11 "13.68750000" 8 "12.03125000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"29" 28 0 2726533 "17249.00000000" "4636.00000000" ".00000000" "18545.18750000" "4646.71875000" ".00000000" 4 "4.12500000" 11 "13.62500000" 9 "13.00000000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"30" 29 0 2804870 "17249.00000000" "4636.00000000" ".00000000" "18484.31250000" "4627.71875000" ".00000000" 4 "4.12500000" 11 "13.18750000" 10 "12.43750000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"31" 30 0 2860962 "17249.00000000" "4636.00000000" ".00000000" "18418.50000000" "4624.90625000" ".00000000" 4 "4.12500000" 11 "13.00000000" 11 "11.25000000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"32" 31 0 2936999 "17249.00000000" "4636.00000000" ".00000000" "18377.53125000" "4623.37500000" ".00000000" 4 "4.12500000" 11 "12.87500000" 12 "11.21875000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
