"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"110" 109 0 9633090 24575 4579 0 24617.5 4583.75 0 4 4 11 11 98 47.34375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"111" 110 0 9713919 24575 4579 0 24617.5 4583.75 0 4 4 11 11 99 48.34375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"112" 111 0 9792924 24575 4579 0 24617.5 4583.75 0 4 4 11 11 100 49.34375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"113" 112 0 9886740 24575 4579 0 24617.4375 4583.78125 0 4 4 11 11 101 48.53125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"114" 113 0 9950871 24575 4579 0 24617.375 4583.8125 0 4 4 11 11 102 47.4375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"115" 114 0 10052421 24575 4579 0 24617.375 4583.8125 0 4 4 11 11 103 48.4375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"116" 115 0 10136478 24575 4579 0 24617.375 4583.8125 0 4 4 11 11 104 49.4375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"117" 116 0 10206106 24575 4579 0 24617.375 4583.8125 0 4 4 11 11 105 50.4375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"118" 117 0 10310714 24575 4579 0 24617.375 4583.8125 0 4 4 11 11 106 51.4375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"119" 118 0 10425288 24575 4579 0 24615.875 4583.625 0 4 4 11 11 107 52.28125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"120" 119 0 10504338 24575 4579 0 24614.375 4583.4375 0 4 4 11 11 108 53.0625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"121" 120 0 10610302 24575 4579 0 24614.375 4583.4375 0 4 4 11 11 109 54.0625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"122" 121 0 10677790 24575 4579 0 24612.875 4583.25 0 4 4 11 11 110 54.46875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"123" 122 0 10779845 24575 4579 0 24612.875 4583.25 0 4 4 11 11 111 55.46875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"124" 123 0 10860197 24575 4579 0 24612.875 4583.25 0 4 4 11 11 112 56.46875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"125" 124 0 10946114 24575 4579 0 24612.875 4583.25 0 4 4 11 11 113 57.46875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"126" 125 0 11027299 24575 4579 0 24610.75 4582.625 0 4 4 11 11 114 56.78125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"127" 126 0 11117018 24575 4579 0 24610.75 4582.625 0 4 4 11 11 115 57.78125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"128" 127 0 11198864 24575 4579 0 24609.25 4582.4375 0 4 4 11 11 116 57.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"129" 128 0 11298672 24575 4579 0 24609.25 4582.4375 0 4 4 11 11 117 58.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"130" 129 0 11405799 24575 4579 0 24609.25 4582.4375 0 4 4 11 11 118 59.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"131" 130 0 11489609 24575 4579 0 24609.25 4582.4375 0 4 4 11 11 119 60.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"132" 131 0 11570562 24575 4579 0 24609.25 4582.4375 0 4 4 11 11 120 61.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"133" 132 0 11648149 24575 4579 0 24609.25 4582.4375 0 4 4 11 11 121 62.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"134" 133 0 11728451 24575 4579 0 24607.75 4582.25 0 4 4 11 11 122 61.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"135" 134 0 11811933 24575 4579 0 24607.75 4582.25 0 4 4 11 11 123 62.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"136" 135 0 11920984 24575 4579 0 24607.75 4582.25 0 4 4 11 11 124 63.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"137" 136 0 12006964 24575 4579 0 24607.75 4582.25 0 4 4 11 11 125 64.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"138" 137 0 12064416 24575 4579 0 24607.75 4582.25 0 4 4 11 11 126 65.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"139" 138 0 12121736 24575 4579 0 24607.75 4582.25 0 4 4 11 11 127 66.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"140" 139 0 12209943 24575 4579 0 24607.75 4582.25 0 4 4 11 11 128 67.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"141" 140 0 12291882 24575 4579 0 24607.75 4582.25 0 4 4 11 11 129 68.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"142" 141 0 12368038 24575 4579 0 24607.75 4582.25 0 4 4 11 11 130 69.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"143" 142 0 12468277 24575 4579 0 24607.75 4582.25 0 4 4 11 11 131 70.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"144" 143 0 12543642 24575 4579 0 24607.75 4582.25 0 4 4 11 11 132 71.625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"145" 144 0 12620794 24575 4579 0 24606.25 4582.0625 0 4 4 11 11 133 70.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"146" 145 0 12726002 24575 4579 0 24606.25 4582.0625 0 4 4 11 11 134 71.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"147" 146 0 12804821 24575 4579 0 24606.25 4582.0625 0 4 4 11 11 135 72.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"148" 147 0 12890871 24575 4579 0 24606.25 4582.0625 0 4 4 11 11 136 73.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"149" 148 0 12964308 24575 4579 0 24606.25 4582.0625 0 4 4 11 11 137 74.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"150" 149 0 13045716 24575 4579 0 24606.25 4582.0625 0 4 4 11 11 138 75.40625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
