"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"29" 28 0 2849046 24575 4579 0 26371.9375 4422.03125 0 4 4.03125 11 11.375 17 10.25 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"30" 29 0 2911057 24575 4579 0 26281.21875 4425.21875 0 4 4.03125 11 11.3125 18 11 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"31" 30 0 2995495 24575 4579 0 26259 4435.59375 0 4 4.03125 11 11.375 19 11.46875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"32" 31 0 3064832 24575 4579 0 26259 4435.59375 0 4 4.03125 11 11.375 20 12.46875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"33" 32 0 3161533 24575 4579 0 26235.65625 4426 0 4 4 11 11.3125 21 12.5625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"34" 33 0 3233607 24575 4579 0 26010.375 4464 0 4 4.03125 11 11.375 22 13 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"35" 34 0 3296969 24575 4579 0 25984.28125 4477.625 0 4 4.0625 11 11.4375 23 13.03125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"36" 35 0 3381604 24575 4579 0 25906.3125 4487.40625 0 4 4.0625 11 11.4375 24 13.5625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"37" 36 0 3462959 24575 4579 0 25906.3125 4487.40625 0 4 4.0625 11 11.4375 25 14.5625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"38" 37 0 3524400 24575 4579 0 25886.875 4478.5625 0 4 4.03125 11 11.375 26 14.6875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"39" 38 0 3604153 24575 4579 0 25769.65625 4512.5 0 4 4.0625 11 11.5 27 14.78125 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"40" 39 0 3681910 24575 4579 0 25723 4514.5625 0 4 4.09375 11 11.4375 28 14.15625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"41" 40 0 3758340 24575 4579 0 25565.03125 4496.1875 0 4 4.09375 11 11.125 29 13.375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"42" 41 0 3840976 24575 4579 0 25503.8125 4495.9375 0 4 4.09375 11 11.0625 30 13.84375 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"43" 42 0 3977476 24575 4579 0 25375.53125 4481.75 0 4 4.09375 11 10.8125 31 12.5 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"44" 43 0 4044524 24575 4579 0 25375.53125 4481.75 0 4 4.09375 11 10.8125 32 13.5 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"45" 44 0 4149424 24575 4579 0 25283.1875 4462.8125 0 4 4.09375 11 10.5625 33 12.96875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"46" 45 0 4221075 24575 4579 0 25238.3125 4453.53125 0 4 4.09375 11 10.4375 34 13.5625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"47" 46 0 4317906 24575 4579 0 25102.96875 4444.375 0 4 4.0625 11 10.25 35 12.46875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"48" 47 0 4391893 24575 4579 0 25102.96875 4444.375 0 4 4.0625 11 10.25 36 13.46875 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"49" 48 0 4471073 24575 4579 0 25047.40625 4432.8125 0 4 4.03125 11 10.125 37 13.5 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"50" 49 0 4553560 24575 4579 0 25046.96875 4429.15625 0 4 4 11 10.125 38 14.15625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"51" 50 0 4633389 24575 4579 0 25046.96875 4429.15625 0 4 4 11 10.125 39 15.15625 "OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR  event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS AND  device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
