"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"55" 54 0 4359273 24791 4630 0 25277.78125 4343.25 0 4 4 11 9.125 6 20.09375 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"56" 55 0 4420211 24791 4630 0 25277.78125 4343.25 0 4 4 11 9.125 7 21.09375 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"57" 56 0 4474869 24791 4630 0 25275.8125 4343.25 0 4 4 11 9.125 8 21.53125 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"58" 57 0 4528158 24791 4630 0 25259.5625 4352.78125 0 4 4 11 9.1875 9 22.1875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"59" 58 0 4581445 24791 4630 0 25259.5625 4352.78125 0 4 4 11 9.1875 10 23.1875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"60" 59 0 4638064 24791 4630 0 25259.5625 4352.78125 0 4 4 11 9.1875 11 24.1875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"61" 60 0 4709895 24791 4630 0 25259.5625 4352.78125 0 4 4 11 9.1875 12 25.1875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"62" 61 0 4792097 24791 4630 0 25259.5625 4352.78125 0 4 4 11 9.1875 13 26.1875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"63" 62 0 4864557 24791 4630 0 25259.5625 4352.78125 0 4 4 11 9.1875 14 27.1875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"64" 63 0 4919322 24791 4630 0 25259.5625 4352.78125 0 4 4 11 9.1875 15 28.1875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"65" 64 0 4974274 24791 4630 0 25259.5625 4352.78125 0 4 4 11 9.1875 16 29.1875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"66" 65 0 5035798 24791 4630 0 25259.5625 4352.78125 0 4 4 11 9.1875 17 30.1875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"67" 66 0 5112735 24791 4630 0 25259.5625 4352.78125 0 4 4 11 9.1875 18 31.1875 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"68" 67 0 5192629 24791 4630 0 25258.09375 4352.78125 0 4 4 11 9.1875 19 31.53125 "OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT device_owned_by=>USER AND NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER AND  event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"69" 68 0 5250661 24764 4630 0 25241 4362.3125 0 4 4 11 9.25 1 31.84375 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"70" 69 0 5319639 24764 4630 0 25241 4362.3125 0 4 4 11 9.25 2 32.84375 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"71" 70 0 5390168 24764 4630 0 25238.0625 4362.3125 0 4 4 11 9.25 3 32.1875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"72" 71 0 5461493 24764 4630 0 25238.0625 4362.3125 0 4 4 11 9.25 4 33.1875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"73" 72 0 5520254 24764 4630 0 25238.0625 4362.3125 0 4 4 11 9.25 5 34.1875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"74" 73 0 5589591 24764 4630 0 25238.0625 4362.3125 0 4 4 11 9.25 6 35.1875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"75" 74 0 5650053 24764 4630 0 25238.0625 4362.3125 0 4 4 11 9.25 7 36.1875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"76" 75 0 5702192 24764 4630 0 25238.0625 4362.3125 0 4 4 11 9.25 8 37.1875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"77" 76 0 5771654 24764 4630 0 25221.8125 4371.84375 0 4 4 11 9.3125 9 37.0625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"78" 77 0 5853584 24764 4630 0 25205.5625 4381.375 0 4 4 11 9.375 10 36.875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"79" 78 0 5909894 24764 4630 0 25188.5 4390.90625 0 4 4 11 9.4375 11 34.84375 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"80" 79 0 5990133 24764 4630 0 25172.25 4400.4375 0 4 4 11 9.5 12 34.28125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"81" 80 0 6084854 24764 4630 0 25172.25 4400.4375 0 4 4 11 9.5 13 35.28125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"82" 81 0 6157972 24764 4630 0 25156 4409.96875 0 4 4 11 9.5625 14 34.625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"83" 82 0 6214668 24764 4630 0 25156 4409.96875 0 4 4 11 9.5625 15 35.625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"84" 83 0 6285419 24764 4630 0 25156 4409.96875 0 4 4 11 9.5625 16 36.625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"85" 84 0 6341305 24764 4630 0 25139.75 4419.5 0 4 4 11 9.625 17 35.78125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"86" 85 0 6411077 24764 4630 0 25139.75 4419.5 0 4 4 11 9.625 18 36.78125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"87" 86 0 6468527 24764 4630 0 25122.90625 4429.03125 0 4 4 11 9.6875 19 35.875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"88" 87 0 6570695 24764 4630 0 25122.90625 4429.03125 0 4 4 11 9.6875 20 36.875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"89" 88 0 6649511 24764 4630 0 25106.65625 4438.5625 0 4 4 11 9.75 21 35.90625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"90" 89 0 6727599 24764 4630 0 25106.65625 4438.5625 0 4 4 11 9.75 22 36.90625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"91" 90 0 6810848 24764 4630 0 25106.65625 4438.5625 0 4 4 11 9.75 23 37.90625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"92" 91 0 6910824 24764 4630 0 25106.65625 4438.5625 0 4 4 11 9.75 24 38.90625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"93" 92 0 6986896 24764 4630 0 25090.40625 4448.09375 0 4 4 11 9.8125 25 37.65625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"94" 93 0 7059551 24764 4630 0 25057.03125 4467.375 0 4 4 11 9.9375 26 31.375 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"95" 94 0 7157682 24764 4630 0 25056.0625 4467.375 0 4 4 11 9.9375 27 31.1875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"96" 95 0 7243951 24764 4630 0 25056.0625 4467.375 0 4 4 11 9.9375 28 32.1875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"97" 96 0 7319815 24764 4630 0 25056.0625 4467.375 0 4 4 11 9.9375 29 33.1875 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  device_owned_by=>USER AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"98" 97 0 7388909 24756 4630 0 25039.53125 4476.90625 0 4 4 11 10 1 33.59375 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"99" 98 0 7464010 24756 4630 0 25039.53125 4476.90625 0 4 4 11 10 2 34.59375 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"100" 99 0 7534510 24756 4630 0 25024.15625 4486.21875 0 4 4 11 10.0625 3 35.40625 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"101" 100 0 7612193 24756 4630 0 25008.78125 4495.53125 0 4 4 11 10.125 4 34.125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"102" 101 0 7720737 24756 4630 0 25008.78125 4495.53125 0 4 4 11 10.125 5 35.125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"103" 102 0 7800031 24756 4630 0 25008.78125 4495.53125 0 4 4 11 10.125 6 36.125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"104" 103 0 7878307 24756 4630 0 25008.625 4495.53125 0 4 4 11 10.125 7 34.8125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"105" 104 0 7953204 24756 4630 0 24993.71875 4504.84375 0 4 4 11 10.1875 8 33.5 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"106" 105 0 8023741 24756 4630 0 24993.71875 4504.84375 0 4 4 11 10.1875 9 34.5 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"107" 106 0 8106816 24756 4630 0 24964.71875 4523.84375 0 4 4 11 10.3125 10 35.03125 "AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>COMPANY AND  event_level=>SIMPLE_EVENT OR NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
