"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 205765 32106 4238 0 53787.9375 2288.6875 0 4 4 15 14.875 1 1 "OR NOT device_screen_timeout<=859 OR NOT event_level=>SIMPLE_EVENT AND NOT password_length>7 THEN=GRANTED|OR  device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT password_length>7 THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-CCMPESS AND  asset_confidential_level=>PUBLIC AND NOT password_length>7 THEN=GRANTED|AND NOT device_owned_by=>USER AND  asset_confidential_level=>PUBLIC AND NOT password_length>7 THEN=GRANTED|" "fold7"
"12" 11 0 1250918 26791 4630 0 30554.21875 4463.25 0 4 4.46875 13 14.5625 5 4.4375 "AND NOT device_is_rooted=false OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"13" 12 0 1344452 26791 4630 0 30145.25 4456.9375 0 4 4.4375 13 14.25 6 4.8125 "AND NOT device_is_rooted=false OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"14" 13 0 1417375 25311 4325 0 29735 4457.5 0 4 4.40625 9 13.875 1 5.3125 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"15" 14 0 1499119 25311 4325 0 29327.5625 4430.09375 0 4 4.34375 9 13.3125 2 5.34375 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"16" 15 0 1580378 25311 4325 0 28820.28125 4390.5 0 4 4.25 9 12.75 3 5.25 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"17" 16 0 1635253 25311 4325 0 28121.5625 4395.875 0 4 4.1875 9 12.1875 4 4.78125 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"18" 17 0 1691120 25311 4325 0 27716.625 4429.1875 0 4 4.21875 9 12.0625 5 4.53125 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"19" 18 0 1787224 25311 4325 0 27527.03125 4429.46875 0 4 4.15625 9 11.9375 6 5.0625 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"20" 19 0 1848082 25311 4325 0 27527.03125 4429.46875 0 4 4.15625 9 11.9375 7 6.0625 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"21" 20 0 1949716 25311 4325 0 27151.59375 4407.0625 0 4 4.09375 9 11.4375 8 6.03125 "AND NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
