"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"22" 21 0 2102272 24729 4622 0 26997.1875 4557.3125 0 4 4.15625 11 12.5625 11 8.53125 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"23" 22 0 2171397 24729 4622 0 26699.84375 4532.8125 0 4 4.09375 11 12.125 12 8.3125 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"24" 23 0 2238514 24729 4622 0 26463.28125 4513.4375 0 4 4.0625 11 11.75 13 8.125 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"25" 24 0 2304523 24729 4622 0 26398.59375 4498.4375 0 4 4.0625 11 11.5625 14 8.59375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"26" 25 0 2385500 24729 4622 0 26191.625 4497.40625 0 4 4.03125 11 11.375 15 9.15625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"27" 26 0 2450593 24729 4622 0 26092.84375 4482.875 0 4 4 11 11.1875 16 9.5625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"28" 27 0 2518391 24729 4622 0 26092.84375 4482.875 0 4 4 11 11.1875 17 10.5625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"29" 28 0 2592477 24729 4622 0 26092.84375 4482.875 0 4 4 11 11.1875 18 11.5625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"30" 29 0 2663373 24729 4622 0 26068.125 4485.90625 0 4 4 11 11.1875 19 11.875 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"31" 30 0 2726152 24729 4622 0 25948.1875 4470.09375 0 4 4 11 10.9375 20 11.84375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"32" 31 0 2792872 24729 4622 0 25948.1875 4470.09375 0 4 4 11 10.9375 21 12.84375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"33" 32 0 2857324 24729 4622 0 25922.125 4466.28125 0 4 4 11 10.875 22 13.65625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"34" 33 0 2940663 24729 4622 0 25803.90625 4468.6875 0 4 4.03125 11 10.75 23 13.21875 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"35" 34 0 3011978 24729 4622 0 25803.90625 4468.6875 0 4 4.03125 11 10.75 24 14.21875 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"36" 35 0 3079560 24729 4622 0 25803.90625 4468.6875 0 4 4.03125 11 10.75 25 15.21875 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"37" 36 0 3152947 24729 4622 0 25753.96875 4459.84375 0 4 4.03125 11 10.625 26 15.59375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"38" 37 0 3230091 24729 4622 0 25753.96875 4459.84375 0 4 4.03125 11 10.625 27 16.59375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"39" 38 0 3299513 24729 4622 0 25706.40625 4450.4375 0 4 4.03125 11 10.5 28 17.3125 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"40" 39 0 3370249 24729 4622 0 25631.1875 4444.875 0 4 4.03125 11 10.375 29 17.0625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
