"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"22" 21 0 1849632 24729 4633 0 26516.875 4502.5 0 4 4 11 11.6875 8 7.375 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"23" 22 0 1904895 24729 4633 0 26285.5625 4498.84375 0 4 4 11 11.4375 9 7 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"24" 23 0 1983023 24729 4633 0 26227.4375 4531.78125 0 4 4.03125 11 11.625 10 7.25 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"25" 24 0 2047565 24729 4633 0 26167.125 4524.25 0 4 4.03125 11 11.5 11 8 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"26" 25 0 2102949 24729 4633 0 26074.53125 4543.84375 0 4 4.03125 11 11.5625 12 8.0625 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"27" 26 0 2179397 24729 4633 0 25897.34375 4558.625 0 4 4.03125 11 11.5 13 8.375 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"28" 27 0 2240146 24729 4633 0 25825.375 4562.21875 0 4 4.0625 11 11.4375 14 8.46875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"29" 28 0 2307769 24729 4633 0 25702.6875 4539.46875 0 4 4.0625 11 11.125 15 9.0625 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"30" 29 0 2358215 24729 4633 0 25587.15625 4534.375 0 4 4.09375 11 10.9375 16 9.1875 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
"31" 30 0 2422210 24729 4633 0 25455.3125 4512.75 0 4 4.09375 11 10.625 17 7.34375 "OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_has_antivirus=true OR  device_OS=>Android4.4 AND  password_length>5 THEN=GRANTED|OR NOT device_owned_by=>USER OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|OR  mail_has_attachment=false AND  password_length>5 THEN=GRANTED|" "fold3"
