"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"78" 77 0 45430781 "7101,00000000" "4842,00000000" ",00000000" "7129,87500000" "4881,37500000" ",00000000" 10 "9,40625000" 43 "58,43750000" 52 "19,12500000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"79" 78 0 45777266 "7101,00000000" "4842,00000000" ",00000000" "7129,87500000" "4881,37500000" ",00000000" 10 "9,40625000" 43 "58,43750000" 53 "20,12500000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"80" 79 0 46364397 "7101,00000000" "4842,00000000" ",00000000" "7129,71875000" "4881,37500000" ",00000000" 10 "9,31250000" 43 "58,12500000" 54 "17,93750000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"81" 80 0 47004785 "7101,00000000" "4842,00000000" ",00000000" "7129,71875000" "4881,37500000" ",00000000" 10 "9,31250000" 43 "58,12500000" 55 "18,93750000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"82" 81 0 47443039 "7101,00000000" "4842,00000000" ",00000000" "7129,71875000" "4881,37500000" ",00000000" 10 "9,31250000" 43 "58,12500000" 56 "19,93750000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"83" 82 0 47911130 "7101,00000000" "4842,00000000" ",00000000" "7129,71875000" "4881,37500000" ",00000000" 10 "9,31250000" 43 "58,12500000" 57 "20,93750000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"84" 83 0 48584034 "7101,00000000" "4842,00000000" ",00000000" "7129,71875000" "4881,37500000" ",00000000" 10 "9,31250000" 43 "58,12500000" 58 "21,93750000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"85" 84 0 49246264 "7101,00000000" "4842,00000000" ",00000000" "7129,37500000" "4881,43750000" ",00000000" 10 "9,37500000" 43 "58,50000000" 59 "22,62500000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"86" 85 0 49895859 "7101,00000000" "4842,00000000" ",00000000" "7129,37500000" "4881,43750000" ",00000000" 10 "9,37500000" 43 "58,50000000" 60 "23,62500000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"87" 86 0 50385973 "7101,00000000" "4842,00000000" ",00000000" "7129,37500000" "4881,43750000" ",00000000" 10 "9,37500000" 43 "58,50000000" 61 "24,62500000" "AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT device_screen_timeout<196 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 OR NOT device_is_rooted=true AND  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT wifiConnected=false AND  asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 AND NOT wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_screen_timeout<196 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT wifiConnected=false AND NOT asset_confidential_level=>PUBLIC OR  device_screen_timeout<=1646 OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR NOT device_type=>LG-P760 AND NOT device_is_rooted=true OR  device_screen_timeout<=1646 AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=STRONGDENY|AND NOT device_has_password=true OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true AND  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
