"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 269276 27529 2456 0 28534.8125 2353.96875 0 10 10 10 10 1 1 "OR  event_level=>SIMPLE_EVENT OR  password_length>=7 AND  device_has_accessibility=true AND  wifiConnected=false AND  device_owned_by=>COMPANY OR  device_has_antivirus=false OR  device_has_password=false OR NOT event_type=>LOG_OUT OR NOT device_is_rooted=false AND  event_level=>SIMPLE_EVENT THEN=" "fold0"
"22" 21 0 2548960 27112 2478 0 27493.625 2464.0625 0 10 10 10 10 21 18 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"23" 22 0 2671414 27112 2478 0 27493.53125 2464.21875 0 10 10 10 10 22 18.40625 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"24" 23 0 2788980 27112 2478 0 27493.53125 2464.21875 0 10 10 10 10 23 19.40625 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"25" 24 0 2905069 27112 2478 0 27493.53125 2464.21875 0 10 10 10 10 24 20.40625 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"26" 25 0 3014129 27112 2478 0 27492.75 2464.21875 0 10 10 10 10 25 20.6875 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"27" 26 0 3124397 27112 2478 0 27492.75 2464.21875 0 10 10 10 10 26 21.6875 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"28" 27 0 3233532 27112 2478 0 27482.6875 2463.65625 0 10 10 10 10 27 21.125 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"29" 28 0 3350755 27112 2478 0 27482.6875 2463.65625 0 10 10 10 10 28 22.125 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"30" 29 0 3467616 27112 2478 0 27480.46875 2463.125 0 10 10 10 10 29 20.53125 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"31" 30 0 3587290 27112 2478 0 27479.6875 2463.125 0 10 10 10 10 30 20.59375 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
"32" 31 0 3695035 27112 2478 0 27476.40625 2463.3125 0 10 10 10 10 31 20.625 "AND NOT event_level=>COMPLEX_EVENT AND NOT device_has_accessibility=true AND  wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS OR NOT device_has_password=false OR NOT device_type=>Samsung Galaxy S3 AND NOT user_role=>Employee AND  device_screen_timeout>=717 OR  asset_confidential_level=>PUBLIC AND NOT password_length>7 OR NOT event_type=>user_entered_password_field THEN=" "fold0"
